code,lat,lng
ATL,33.636700,-84.427864
ORD,41.979333,-87.907389
DEN,39.861667,-104.673167
LAX,33.942500,-118.408074
DFW,32.897232,-97.037695
LAS,36.080056,-115.152250
SEA,47.449889,-122.311778
PHX,33.434278,-112.011583
CLT,35.213741,-80.949069
SFO,37.618817,-122.375428
MCO,28.429389,-81.309000
MSP,44.881972,-93.221778
DTW,42.212417,-83.353389
IAH,29.984444,-95.341444
BOS,42.362965,-71.006424
EWR,40.692480,-74.168687
JFK,40.639751,-73.778926
BWI,39.175349,-76.668331
PHL,39.872249,-75.240866
LGA,40.777250,-73.872611
FLL,26.071667,-80.149694
SLC,40.788388,-111.977773
DCA,38.851916,-77.037699
MDW,41.785972,-87.752417
SAN,32.733556,-117.189667
MIA,25.795361,-80.290111
TPA,27.975472,-82.533250
PDX,45.588709,-122.596869
DAL,32.847111,-96.851778
IAD,38.947444,-77.459944
STL,38.748697,-90.370029
BNA,36.124472,-86.678194
AUS,30.194528,-97.669889
HOU,29.645419,-95.278889
MSY,29.993278,-90.259028
MCI,39.297605,-94.713906
SJC,37.362667,-121.929111
RDU,35.877639,-78.787472
OAK,37.721260,-122.221149
SMF,38.695444,-121.590778
HNL,21.317827,-157.920263
SNA,33.675667,-117.868222
CLE,41.409417,-81.854694
IND,39.717299,-86.294661
PIT,40.491417,-80.232694
RSW,26.536167,-81.755167
SAT,29.533958,-98.469057
SJU,18.439399,-66.002135
CMH,39.996944,-82.892167
CVG,39.048837,-84.667822
MKE,42.946944,-87.897056
BDL,41.939145,-72.683371
PBI,26.683167,-80.095583
JAX,30.494056,-81.687833
ABQ,35.038932,-106.608262
BUF,42.940417,-78.730583
OGG,20.898650,-156.430458
ANC,61.174157,-149.998189
OMA,41.303167,-95.894056
ONT,34.056000,-117.601194
BUR,34.200694,-118.358667
MEM,35.042417,-89.976667
OKC,35.393074,-97.600762
RNO,39.499111,-119.768111
PVD,41.723999,-71.428221
RIC,37.505167,-77.319667
LGB,33.817754,-118.151733
CHS,32.898639,-80.040528
BOI,43.564361,-116.222861
SDF,38.174086,-85.736499
ORF,36.894611,-76.201222
GEG,47.619028,-117.535222
TUS,32.116083,-110.941028
ELP,31.807194,-106.376361
GRR,42.880833,-85.522806
TUL,36.198389,-95.888111
ALB,42.749111,-73.801972
BHM,33.563889,-86.752306
SFB,28.776972,-81.234917
DSM,41.533972,-93.663083
ROC,43.119142,-77.671869
SAV,32.127583,-81.202139
MYR,33.679750,-78.928333
GSP,34.895667,-82.218861
KOA,19.738766,-156.045631
PIE,27.909999,-82.687545
SYR,43.111194,-76.106306
LIT,34.729444,-92.224778
TYS,35.810972,-83.994028
MHT,42.932806,-71.435750
MSN,43.139879,-89.337504
DAY,39.902250,-84.219417
PWM,43.645644,-70.308616
GSO,36.101326,-79.941123
LIH,21.975983,-159.338958
PSP,33.829667,-116.506694
COS,38.805806,-104.700778
PNS,30.473426,-87.186612
ICT,37.649944,-97.433056
HPN,41.066944,-73.707556
XNA,36.281579,-94.307766
ISP,40.795250,-73.100222
FAT,36.776556,-119.718833
PGD,26.918938,-81.990926
LEX,38.036750,-84.608639
CAK,40.915056,-81.443639
STT,18.337306,-64.973333
BZN,45.777572,-111.152022
MDT,40.193191,-76.762621
BTV,44.471956,-73.153278
CID,41.884689,-91.710799
VPS,30.483219,-86.526044
FAI,64.815111,-147.856444
SRQ,27.395444,-82.554389
FSD,43.582013,-96.741914
ACY,39.457583,-74.577167
MAF,31.942528,-102.201917
EUG,44.124583,-123.211972
HSV,34.637194,-86.775056
CAE,33.938833,-81.119528
CHA,35.035194,-85.203556
SGF,37.245667,-93.388639
AVL,35.436194,-82.541806
LBB,33.663667,-101.820556
JAN,32.311167,-90.075889
ECP,30.358250,-85.795611
MFR,42.374222,-122.873500
JNU,58.354740,-134.574683
ILM,34.271153,-77.902892
BIL,45.807661,-108.542875
FAR,46.920650,-96.815764
FNT,42.965417,-83.743667
EYW,24.556111,-81.759556
MSO,46.916306,-114.090556
BTR,30.532906,-91.149877
PSC,46.264694,-119.119028
BLI,48.792694,-122.537528
RDM,44.254056,-121.149972
TTN,40.276694,-74.813472
FWA,40.978472,-85.195167
SBA,34.426194,-119.841500
TLH,30.396750,-84.350861
DAB,29.179917,-81.058056
AMA,35.219361,-101.705917
JAC,43.607333,-110.737750
MLI,41.448286,-90.507520
CHO,38.139643,-78.452342
ABE,40.652361,-75.440417
MFE,26.175833,-98.238611
CRP,27.771091,-97.501231
GPT,30.407278,-89.070083
PIA,40.664194,-89.693250
ROA,37.325472,-79.975417
SBN,41.708222,-86.317333
AGS,33.369944,-81.964500
MOB,30.691417,-88.242833
RAP,44.045333,-103.057361
GRB,44.484639,-88.129722
ATW,44.258083,-88.519083
BGR,44.807444,-68.828139
BIS,46.772722,-100.745750
HRL,26.227111,-97.655139
SHV,32.446611,-93.825611
AVP,41.338472,-75.723389
BQN,18.494861,-67.129444
ASE,39.221878,-106.868235
FAY,34.991222,-78.880278
TVC,44.741583,-85.581778
GJT,39.122412,-108.526735
KTN,55.354083,-131.711222
MLB,28.102753,-80.645257
GNV,29.690056,-82.271778
EVV,38.040806,-87.528500
CRW,38.375929,-81.593004
LFT,30.205028,-91.987756
STS,38.509681,-122.812899
PHF,37.131889,-76.492972
SBP,35.237266,-120.642597
MRY,36.587000,-121.842944
TRI,36.475194,-82.407417
STX,17.701556,-64.801722
DRO,37.151517,-107.753769
LAN,42.778639,-84.586194
GTF,47.482654,-111.370610
BMI,40.477111,-88.915917
GUM,13.483953,144.797132
SWF,41.504111,-74.104833
MGM,32.300639,-86.393972
OAJ,34.829167,-77.612139
LNK,40.850889,-96.759111
EGE,39.642750,-106.915944
LBE,40.274611,-79.406750
BET,60.778556,-161.837167
IDA,43.513722,-112.070750
AZO,42.234389,-85.551556
RST,43.908278,-92.500028
IAG,43.107557,-78.945841
MOT,48.257639,-101.278028
PBG,44.650944,-73.468139
GRK,31.067250,-97.828917
LCK,39.813778,-82.927806
SIT,57.046834,-135.361069
ELM,42.159856,-76.891746
BLV,38.545167,-89.835194
MTJ,38.509806,-107.894250
DLH,46.842083,-92.193639
